ArcID,Day,IsOpen,TrafficLimit,TrafficFlowed,TrafficSlack,Utilization,RiskScore
"55-de",7,True,Infinity,565400,Infinity,,0
"55-ef",7,True,Infinity,565400,Infinity,,0
"55fg",7,True,Infinity,565400,Infinity,,0
"55-gh",7,True,Infinity,565400,Infinity,,0
"55-hj",7,True,Infinity,565400,Infinity,,0
"55-jk",7,True,Infinity,565400,Infinity,,0
"55-kl",7,True,Infinity,253640,Infinity,,0
"55-lm",7,True,Infinity,0,Infinity,,0
"55 west of Daegu",7,True,Infinity,0,Infinity,,0
"55 east of Daegu",7,True,Infinity,0,Infinity,,0
"55-no",7,True,325000,0,325000,0,0
"55-op",7,True,Infinity,0,Infinity,,0
"55-pq",7,True,Infinity,0,Infinity,,0
"55-qr",7,True,Infinity,0,Infinity,,0
"55-rs",7,True,Infinity,0,Infinity,,0
"55-st",7,True,Infinity,0,Infinity,,0
"55-tu",7,True,Infinity,0,Infinity,,0
"55-uv",7,True,Infinity,0,Infinity,,0
"55 near Gimhae",7,True,Infinity,0,Infinity,,0
"10-a",7,True,Infinity,0,Infinity,,0
"10-b",7,True,Infinity,0,Infinity,,0
"10-c",7,True,Infinity,0,Infinity,,0
"Andong-55",7,True,Infinity,565400,Infinity,,0
"35 east of Andong",7,True,Infinity,408350.4,Infinity,,0
"35ab",7,True,Infinity,408350.4,Infinity,,0
"35bc",7,True,Infinity,408350.4,Infinity,,0
"35cd",7,True,Infinity,408350.4,Infinity,,0
"55-Gyeongbuk",7,True,Infinity,0,Infinity,,0
"35-Gyeongbuk",7,True,Infinity,0,Infinity,,0
"20 west Pohang",7,True,Infinity,359456,Infinity,,0
"20-bc",7,True,Infinity,359456,Infinity,,0
"20-35",7,True,Infinity,359456,Infinity,,0
"20-daegu",7,True,Infinity,0,Infinity,,0
"Pohang north",7,True,Infinity,0,Infinity,,0
"Ulsan-1",7,True,Infinity,0,Infinity,,0
"55-1",7,True,Infinity,0,Infinity,,0
"1-ab",7,True,Infinity,0,Infinity,,0
"1-bc",7,True,Infinity,0,Infinity,,0
"1-cd",7,True,Infinity,0,Infinity,,0
"1-de",7,True,Infinity,0,Infinity,,0
"1-ef",7,True,Infinity,0,Infinity,,0
"Yangsan-55",7,True,Infinity,0,Infinity,,0
"Pohang Northwest",7,True,Infinity,0,Infinity,,0
"Busan-Yangsan",7,True,Infinity,0,Infinity,,0
"Ulsan-Busan",7,True,Infinity,0,Infinity,,0
"Ulsan-Busan sea",7,True,Infinity,0,Infinity,,0
"Ulsan sea appraoch",7,True,Infinity,0,Infinity,,0
"Sea base",7,True,Infinity,0,Infinity,,0
"sea base to sea lane",7,True,Infinity,0,Infinity,,0
"sea base to sea lane 1",7,True,Infinity,0,Infinity,,0
"sea lane ab",7,True,Infinity,0,Infinity,,0
"sea lane bc",7,False,Infinity,0,Infinity,,0
"sea lane into Pohang",7,False,Infinity,0,Infinity,,0
"northern sea lane",7,False,Infinity,0,Infinity,,0
"sea lane into north of pohang",7,False,Infinity,0,Infinity,,0
"Yeongchon north",7,True,Infinity,205182.2,Infinity,,0
"Yeongchon south",7,True,Infinity,0,Infinity,,0
"55-ab",8,True,Infinity,0,Infinity,,0
"55-bc",8,True,Infinity,565400,Infinity,,0
"55-cd",8,True,Infinity,565400,Infinity,,0
"55-de",8,True,Infinity,565400,Infinity,,0
"55-ef",8,True,Infinity,565400,Infinity,,0
"55fg",8,True,Infinity,565400,Infinity,,0
"55-gh",8,True,Infinity,565400,Infinity,,0
"55-hj",8,True,Infinity,565400,Infinity,,0
"55-jk",8,True,Infinity,565400,Infinity,,0
"55-kl",8,True,Infinity,565400,Infinity,,0
"55-lm",8,True,Infinity,253640,Infinity,,0
"55 west of Daegu",8,True,Infinity,0,Infinity,,0
"55 east of Daegu",8,True,Infinity,0,Infinity,,0
"55-no",8,True,325000,0,325000,0,0
"55-op",8,True,Infinity,0,Infinity,,0
"55-pq",8,True,Infinity,0,Infinity,,0
"55-qr",8,True,Infinity,0,Infinity,,0
"55-rs",8,True,Infinity,0,Infinity,,0
"55-st",8,True,Infinity,0,Infinity,,0
"55-tu",8,True,Infinity,0,Infinity,,0
"55-uv",8,True,Infinity,0,Infinity,,0
"55 near Gimhae",8,True,Infinity,0,Infinity,,0
"10-a",8,True,Infinity,0,Infinity,,0
"10-b",8,True,Infinity,0,Infinity,,0
"10-c",8,True,Infinity,0,Infinity,,0
"Andong-55",8,True,Infinity,565400,Infinity,,0
"35 east of Andong",8,True,Infinity,365030.4,Infinity,,0
"35ab",8,True,Infinity,365030.4,Infinity,,0
"35bc",8,True,Infinity,365030.4,Infinity,,0
"35cd",8,True,Infinity,365030.4,Infinity,,0
"55-Gyeongbuk",8,True,Infinity,0,Infinity,,0
"35-Gyeongbuk",8,True,Infinity,0,Infinity,,0
"20 west Pohang",8,True,Infinity,297109.2,Infinity,,0
"20-bc",8,True,Infinity,297109.2,Infinity,,0
"20-35",8,True,Infinity,297109.2,Infinity,,0
"20-daegu",8,True,Infinity,0,Infinity,,0
