TransportDeliveryID,RequestID,Day,SupplyingLogNode,TransportType,TransportConfiguration,DeliveredAmount,DeliveredWeight,FuelTypeExpended,FuelAmountExpended,ConvoyProtectionFuelExpended,Distance,Sorties,TransportTimeSpent,SortieDurationPer,Scripted
-472,-680,6,"ANDONG SUPPLY DEPOT","Htruck","Default",112608,108103.68,"FUEL",1072.16814457774,0,89.3473453814785,6,30.5243347042882,5.08738911738136,False
-473,-681,6,"ANDONG SUPPLY DEPOT","Htruck","Default",42500,40800,"FUEL",437.541272844963,0,72.9235454741605,3,10.9333570443083,3.64445234810278,False
-474,-682,6,"ANDONG SUPPLY DEPOT","CH-53K","Default",43520,43520,"FUEL",621.378068333693,0,58.2541939062837,4,1.69466745909189,0.423666864772972,False
-475,-683,6,"BSA SUPPLY POINT","Mtruck","Default",93420,89683.2,"FUEL",369.96742519754,0,36.996742519754,10,17.5073598960518,1.75073598960518,False
-476,-684,6,"ANDONG SUPPLY DEPOT","CH-53K","Default",41520,39859.2,"FUEL",1708.78968791765,0,58.2541939062837,11,4.66033551250269,0.423666864772972,False
-477,-685,6,"BSA SUPPLY POINT","Htruck","Default",31580,30316.8,"FUEL",161.084649750724,0,40.2711624376809,2,4.67607283276114,2.33803641638057,False
-478,-686,6,"SEA BASE","CH-53K","Default",28760.1583581999,23008.1266865599,"FUEL",426.942415725852,0,20.0129257371493,8,1.16438840652505,0.145548550815632,False
-479,-687,6,"SEA BASE","CH-53K","Default",125000,120000,"FUEL",1707.76966290341,0,20.0129257371493,32,4.65755362610021,0.145548550815632,False
-480,-688,6,"SEA BASE","CH-53K","Default",110000,110000,"FUEL",533.678019657316,0,20.0129257371493,10,1.45548550815632,0.145548550815632,False
-481,-695,7,"ANDONG SUPPLY DEPOT","Mtruck","Default",274500,219600,"FUEL",2333.39847293147,0,83.3356597475524,28,98.9039167455773,3.53228274091348,False
-482,-696,7,"ANDONG SUPPLY DEPOT","Mtruck","Default",60000,48000,"FUEL",536.204339656382,0,89.3673899427303,6,20.8486850869335,3.47478084782226,False
-483,-696,7,"ANDONG SUPPLY DEPOT","Htruck","Default",199250,159400,"FUEL",1966.08257874007,0,89.3673899427303,11,46.0218723919403,4.18380658108548,False
-484,-697,7,"ANDONG SUPPLY DEPOT","Htruck","Default",217948,174358.4,"FUEL",2100.88306520295,0,87.5367943834561,12,58.8760082109495,4.90633401757913,False
-485,-698,7,"BSA SUPPLY POINT","Mtruck","Default",72540,58032,"FUEL",382.387849592605,0,47.7984811990756,8,13.643336022461,1.70541700280762,False
-486,-699,7,"BSA SUPPLY POINT","Mtruck","Default",89280,71424,"FUEL",526.445160224486,0,58.4939066916096,9,20.6855705330826,2.29839672589807,False
-487,-700,7,"ANDONG SUPPLY DEPOT","Htruck","Default",79360,63488,"FUEL",952.593342826869,0,95.2593342826869,5,28.392940037511,5.6785880075022,False
-488,-701,7,"ANDONG SUPPLY DEPOT","Htruck","Default",48960,48960,"FUEL",833.356597475524,0,83.3356597475524,5,20.7660924291442,4.15321848582883,False
-489,-702,7,"ANDONG SUPPLY DEPOT","Htruck","Default",46240,46240,"FUEL",893.673899427303,0,89.3673899427303,5,20.9190329054274,4.18380658108548,False
-490,-703,7,"ANDONG SUPPLY DEPOT","Htruck","Default",79304,79304,"FUEL",1225.51512136839,0,87.5367943834561,7,34.3443381230539,4.90633401757913,False
-491,-704,7,"ANDONG SUPPLY DEPOT","Htruck","Default",45000,43200,"FUEL",500.013958485314,0,83.3356597475524,3,12.4596554574865,4.15321848582883,False
-492,-705,7,"BSA SUPPLY POINT","Mtruck","Default",26370,26370,"FUEL",238.992405995378,0,47.7984811990756,5,8.5270850140381,1.70541700280762,False
-493,-706,7,"BSA SUPPLY POINT","Mtruck","Default",83630,83630,"FUEL",818.914693682534,0,58.4939066916096,14,32.177554162573,2.29839672589807,False
-494,-707,7,"ANDONG SUPPLY DEPOT","Htruck","Default",95000,91200,"FUEL",875.367943834561,0,87.5367943834561,5,24.5316700878956,4.90633401757913,False
-495,-707,7,"ANDONG SUPPLY DEPOT","CH-53K","Default",17608,16903.68,"FUEL",855.543774070571,0,64.1657830552928,5,2.33330120201065,0.46666024040213,False
-496,-708,7,"ANDONG SUPPLY DEPOT","CH-53K","Default",42500,40800,"FUEL",2114.81616675541,0,72.0960056848434,11,5.76768045478748,0.524334586798861,False
-497,-710,7,"BSA SUPPLY POINT","Mtruck","Default",46710,44841.6,"FUEL",292.469533458048,0,58.4939066916096,5,11.4919836294903,2.29839672589807,False
-498,-712,7,"BSA SUPPLY POINT","Mtruck","Default",70000,67200,"FUEL",334.589368393529,0,47.7984811990756,7,11.9379190196533,1.70541700280762,False
-499,-712,7,"BSA SUPPLY POINT","Htruck","Default",8290,7958.4,"FUEL",95.5969623981512,0,47.7984811990756,1,2.11534115175428,2.11534115175428,False
-500,-714,7,"SEA BASE","CH-53K","Default",125000,120000,"FUEL",1707.76966290341,0,20.0129257371493,32,4.65755362610021,0.145548550815632,False
-501,-715,7,"SEA BASE","CH-53K","Default",110000,110000,"FUEL",533.678019657316,0,20.0129257371493,10,1.45548550815632,0.145548550815632,False
-502,-722,8,"ANDONG SUPPLY DEPOT","Mtruck","Default",274500,219600,"FUEL",2579.4008319475,0,92.1214582838391,28,105.005255094128,3.75018768193315,False
-503,-723,8,"ANDONG SUPPLY DEPOT","Mtruck","Default",30000,24000,"FUEL",302.595856028543,0,100.865285342848,3,11.7342666853059,3.91142222843529,False
-504,-723,8,"ANDONG SUPPLY DEPOT","Htruck","Default",229250,183400,"FUEL",2622.49741891404,0,100.865285342848,13,61.3019469783717,4.71553438295167,False
-505,-724,8,"ANDONG SUPPLY DEPOT","Htruck","Default",217948,174358.4,"FUEL",2219.3581049182,0,92.4732543715916,12,59.0810062827567,4.92341719022972,False
-506,-725,8,"BSA SUPPLY POINT","Mtruck","Default",72540,58032,"FUEL",408.410714527316,0,51.0513393159145,8,16.2456225159321,2.03070281449152,False
