TransportDeliveryID,ArcID
-664,"20 west Pohang"
-664,"20-bc"
-664,"20-35"
-665,"Yeongchon north"
-665,"Yeongchon south"
-665,"1-bc"
-665,"1-cd"
-665,"1-de"
-666,"Yeongchon north"
-666,"Yeongchon south"
-666,"1-bc"
-666,"1-cd"
-666,"1-de"
-666,"1-ef"
-666,"Yangsan-55"
-666,"55-uv"
-666,"55-tu"
-667,"Yeongchon north"
-667,"Yeongchon south"
-667,"1-bc"
-667,"1-cd"
-667,"1-de"
-667,"1-ef"
-667,"Yangsan-55"
-667,"55-uv"
-667,"55-tu"
-668,"Yeongchon north"
-668,"Yeongchon south"
-668,"1-bc"
-668,"1-cd"
-668,"1-de"
-669,"20 west Pohang"
-669,"20-bc"
-669,"20-35"
-670,"20 west Pohang"
-670,"20-bc"
-670,"20-35"
-670,"Yeongchon north"
-671,"Yeongchon north"
-671,"Yeongchon south"
-671,"1-bc"
-671,"1-cd"
-671,"1-de"
-671,"1-ef"
-671,"Yangsan-55"
-671,"55-uv"
-671,"55-tu"
-672,"Andong-55"
-672,"55-bc"
-672,"55-cd"
-672,"55-de"
-672,"55-ef"
-672,"55fg"
-672,"55-gh"
-672,"55-hj"
-672,"55-jk"
-672,"55-kl"
-672,"55-lm"
-672,"55 west of Daegu"
-672,"55 east of Daegu"
-672,"55-1"
-672,"1-ab"
-672,"1-bc"
-672,"1-cd"
-672,"1-de"
-672,"1-ef"
-672,"Yangsan-55"
-672,"55-uv"
-672,"55-tu"
-673,"20 west Pohang"
-673,"20-bc"
-673,"20-35"
-673,"Yeongchon north"
-674,"20 west Pohang"
-674,"20-bc"
-674,"20-35"
-675,"35 east of Andong"
-675,"35ab"
-675,"35bc"
-675,"35cd"
-676,"35 east of Andong"
-676,"35ab"
-676,"35bc"
-676,"35cd"
-677,"35 east of Andong"
-677,"35ab"
-677,"35bc"
-677,"35cd"
-678,"35 east of Andong"
-678,"35ab"
-678,"35bc"
-678,"35cd"
-680,"20-daegu"
-680,"55 east of Daegu"
-680,"55-no"
-680,"55-op"
-680,"55-pq"
-680,"55-qr"
-680,"55-rs"
-680,"55-st"
-680,"55-tu"
-681,"20-daegu"
-681,"55 east of Daegu"
-681,"55-no"
-681,"55-op"
-681,"55-pq"
-681,"55-qr"
-681,"55-rs"
-681,"55-st"
-681,"55-tu"
-682,"20-daegu"
-682,"55 east of Daegu"
-682,"55-no"
-682,"55-op"
-682,"55-pq"
-682,"55-qr"
-682,"55-rs"
-682,"55-st"
-682,"55-tu"
-684,"Yeongchon north"
-684,"Yeongchon south"
-684,"1-bc"
-684,"1-cd"
-684,"1-de"
-684,"1-ef"
-685,"20 west Pohang"
-685,"20-bc"
-685,"20-35"
-685,"Yeongchon north"
-686,"Yeongchon north"
-686,"Yeongchon south"
-686,"1-bc"
-686,"1-cd"
-686,"1-de"
-686,"1-ef"
-687,"Yeongchon north"
-687,"Yeongchon south"
-687,"1-bc"
-687,"1-cd"
-687,"1-de"
-687,"1-ef"
-687,"Yangsan-55"
-687,"55-uv"
